url,name,description
https://courses.illinois.edu/schedule/terms/ECE/101,ECE 101   Exploring Digital Info Technol   credit: 3 Hours. ,"
Principles and processes for the development of information technologies: digital music, digital images, digital logic, data compression, error correction, information security, and communication networks. Laboratory for design of hardware and software, and experiments in audio and image processing. Intended for students outside the College of Engineering. Credit is not given to Computer or Electrical Engineering majors.This course satisfies the General Education Criteria for:Nat Sci & Tech - Phys SciencesQuantitative Reasoning II"
https://courses.illinois.edu/schedule/terms/ECE/110,ECE 110   Introduction to Electronics   credit: 1 to 3 Hours. ,"
Introduction to selected fundamental concepts and principles in electrical engineering. Emphasis on measurement, modeling, and analysis of circuits and electronics while introducing numerous applications. Includes sub-discipline topics of electrical and computer engineering, for example, electromagnetics, control, signal processing, microelectronics, communications, and scientific computing basics. Lab work incorporates sensors and motors into an autonomous moving vehicle, designed and constructed to perform tasks jointly determined by the instructors and students.
"
https://courses.illinois.edu/schedule/terms/ECE/120,ECE 120   Introduction to Computing   credit: 4 Hours. ,"
Introduction to digital logic, computer systems, and computer languages. Topics include representation of information, combinational and sequential logic analysis and design, finite state machines, the von Neumann model, basic computer organization, and machine language programming. Laboratory assignments provide hands-on experience with design, simulation, implementation, and programming of digital systems. Prerequisite: Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.
"
https://courses.illinois.edu/schedule/terms/ECE/198,ECE 198   Special Topics   credit: 1 to 4 Hours. ,"
Lectures and discussions relating to new areas of interest. May be repeated in the same or separate terms for unlimited hours if topics vary. See class schedule for topics and prerequisites.
"
https://courses.illinois.edu/schedule/terms/ECE/199,ECE 199   Undergraduate Open Seminar   credit: 1 to 5 Hours. ,"
Approved for both letter and S/U grading. May be repeated.
"
https://courses.illinois.edu/schedule/terms/ECE/200,ECE 200   Seminar   credit: 0 Hours. ,"
Discussions of educational programs, career opportunities, and other topics in electrical and computer engineering. Approved for Letter and S/U grading. May be repeated. For Computer Engineering and Electrical Engineering majors only.
"
https://courses.illinois.edu/schedule/terms/ECE/205,ECE 205   Electrical and Electronic Circuits   credit: 3 Hours. ,"
ECE 205 is an introductory course on circuit analysis and electronics for non-majors in engineering. The course includes bi-weekly electronics lab experiments designed to provide students with hands-on experience. Basic principles of circuit analysis and DC circuits; time-domain analysis of 1st and 2nd order linear circuits; complex numbers, phasors, AC steady-state analysis; frequency response; op-amp, diode, and BJT circuits; logic gates and digital logic circuits. Credit is not given to Computer or Electrical Engineering majors. Credit is not given to Computer or Electrical Engineering majors. Prerequisite: PHYS 212.
"
https://courses.illinois.edu/schedule/terms/ECE/206,ECE 206   Electrical and Electronic Circuits Lab   credit: 1 Hour. ,"
Laboratory experiments in digital logic and controllers; transistor amplifier and switching circuits; DC motor control and voltage regulators; sensors and motion control with feedback; wireless communication. Credit is not given to Computer or Electrical Engineering majors. Prerequisite: ECE 205.
"
https://courses.illinois.edu/schedule/terms/ECE/210,ECE 210   Analog Signal Processing   credit: 4 Hours. ,"
Analog signal processing, with an emphasis on underlying concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; differential equation models of linear circuits and systems; Laplace transform; convolution; stability; phasors; frequency response; Fourier series; Fourier transform; active filters; AM radio. Credit is not given for both ECE 210 and ECE 211. Prerequisite: ECE 110 and PHYS 212; credit or concurrent registration in MATH 285 or MATH 286.
"
https://courses.illinois.edu/schedule/terms/ECE/211,ECE 211   Analog Circuits & Systems   credit: 2 Hours. ,"
Concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; op amps; transient analysis; differential equation models of linear circuits and systems; Laplace transform. Credit is not given for both ECE 211 and ECE 210. Prerequisite: ECE 110 and PHYS 212; credit or concurrent registration in MATH 285 or MATH 286.
"
https://courses.illinois.edu/schedule/terms/ECE/220,ECE 220   Computer Systems & Programming   credit: 4 Hours. ,"
Advanced use of LC-3 assembly language for I/O and function calling convention. C programming, covering basic programming concepts, functions, arrays, pointers, I/O, recursion, simple data structures, linked lists, dynamic memory management, and basic algorithms. Information hiding and object-oriented design as commonly implemented in modern software and computer systems programming. Prerequisite: ECE 120. Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.
"
https://courses.illinois.edu/schedule/terms/ECE/297,ECE 297   Individual Study   credit: 1 Hour. ,"
Individual projects. Approved written application to department as specified by department or instructors is required. Approved for both letter and S/U grading. May be repeated in separate terms to a maximum of 2 hours. Prerequisite: Consent of instructor.
"
https://courses.illinois.edu/schedule/terms/ECE/298,ECE 298   Special Topics   credit: 1 to 4 Hours. ,"
Lectures and discussions relating to new areas of interest. May be repeated in the same or separate terms for unlimited hours if topics vary. See class schedule for topics and prerequisites.
"
https://courses.illinois.edu/schedule/terms/ECE/304,ECE 304   Photonic Devices   credit: 3 Hours. ,"
Introduction to active and passive photonic devices and applications; optical processes in semiconductor and dielectric materials including electrical junctions, light emission and absorption, and waveguide confinement; photonic components such as light emitting diodes, lasers, photodetectors, solar cells, liquid crystals, and optical fiber; optical information distribution networks and display applications. Prerequisite: PHYS 214.
"
https://courses.illinois.edu/schedule/terms/ECE/307,ECE 307   Techniques for Engrg Decisions   credit: 3 Hours. ,"
Modeling of decisions in engineering work and the analysis of models to develop a systematic approach to making decisions. Fundamental concepts in linear and dynamic programming; probability theory; and statistics. Resource allocation; logistics; scheduling; sequential decision making; siting of facilities; investment decisions; application of financial derivatives; other problems for decision making under uncertainty. Case studies from actual industrial applications illustrate real-world decisions. Prerequisite: ECE 210; credit or concurrent registration in ECE 313.
"
https://courses.illinois.edu/schedule/terms/ECE/310,ECE 310   Digital Signal Processing   credit: 3 Hours. ,"
Introduction to discrete-time systems and discrete-time signal processing with an emphasis on causal systems; discrete-time linear systems, difference equations, z-transforms, discrete convolution, stability, discrete-time Fourier transforms, analog-to-digital and digital-to-analog conversion, digital filter design, discrete Fourier transforms, fast Fourier transforms, spectral analysis, and applications of digital signal processing. Prerequisite: ECE 210.
"
https://courses.illinois.edu/schedule/terms/ECE/311,ECE 311   Digital Signal Processing Lab   credit: 1 Hour. ,"
Companion laboratory for ECE 310. Prerequisite: Credit or concurrent registration in ECE 310.
"
https://courses.illinois.edu/schedule/terms/ECE/313,ECE 313   Probability with Engrg Applic   credit: 3 Hours. ,"
Probability theory with applications to engineering problems such as the reliability of circuits and systems to statistical methods for hypothesis testing, decision making under uncertainty, and parameter estimation. Same as MATH 362. Credit is not given for both ECE 313 and MATH 461. Prerequisite: MATH 286 or MATH 415.
"
