url,name,description
https://courses.illinois.edu/schedule/terms/MATH/101,MATH 101   Thinking Mathematically   credit: 3 Hours. ,"
Designed for students in majors that do not specifically require a mathematics course beyond the level of precalculus. Focus is on critical thinking and applications. All topics are covered from a contextual standpoint. Topics include proportional reasoning and modeling, functions, sets, consumer math, probability, and statistics. Other topics may be covered as time permits. Prerequisite: Three years of high school mathematics. Undergraduates only.
"
https://courses.illinois.edu/schedule/terms/MATH/103,MATH 103   Theory of Arithmetic   credit: 4 Hours. ,"
Analyses of the mathematical issues and methodology underlying elementary mathematics in grades K-5. Topics include sets, arithmetic algorithms, elementary number theory, rational and irrational numbers, measurement, and probability. There is an emphasis on problem solving. Priority registration will be given to students enrolled in teacher education programs leading to certification in elementary or childhood education. Prerequisite: MATH 112 (formerly MATH 012) or equivalent. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/112,MATH 112   Algebra   credit: 3 Hours. ,"
Rapid review of basic techniques of factoring, rational expressions, equations and inequalities; functions and graphs; exponential and logarithm functions; systems of equations; matrices and determinants; polynomials; and the binomial theorem. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of 1.5 units of high school algebra and 1 unit of high school geometry.
"
https://courses.illinois.edu/schedule/terms/MATH/114,MATH 114   Trigonometry   credit: 2 Hours. ,"
Studies degrees and radians, the trigonometric functions, identities and equations, inverse functions, oblique triangles and applications. Credit is not given for MATH 114 and either MATH 014 or MATH 115. Prerequisite: 1.5 units of high school algebra; 1 unit of high school geometry.
"
https://courses.illinois.edu/schedule/terms/MATH/115,MATH 115   Preparation for Calculus   credit: 3 Hours. ,"
Reviews trigonometric, rational, exponential, and logarithmic functions; provides a full treatment of limits, definition of derivative, and an introduction to finding area under a curve. Intended for students who need preparation for MATH 220, either because they lack the content background or because they are not prepared for the rigor of a university calculus course. Credit is not given for both MATH 115 and either MATH 014 or MATH 114. Credit is not given for MATH 115 if credit for either MATH 220 or MATH 221 has been earned. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of the topics of MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/117,MATH 117   Elementary Mathematics   credit: 4 Hours. ,"
Analyses of the mathematical issues and methodology underlying elementary mathematics in grades 6-8. Topics include the Real number system and field axioms, sequences and series, functions and math modeling with technology, Euclidean and non-Euclidean geometry, probability and statistics. Priority registration will be given to students enrolled in teacher education programs leading to certification in elementary education. Prerequisite: MATH 112 (formerly MATH 012) or equivalent.This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/119,MATH 119   Ideas in Geometry   credit: 3 Hours. ,"
General education course in mathematics, for students who do not have mathematics as a central part of their studies. The goal is to convey the spirit of mathematical thinking through topics chosen mainly from plane geometry. Prerequisite: Two units of high school algebra; one unit of high school geometry; or equivalent.This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/124,MATH 124   Finite Mathematics   credit: 3 Hours. ,"
Introduction to finite mathematics for students in the social sciences; introduces the student to the basic ideas of logic, set theory, probability, vectors and matrices, and Markov chains. Problems are selected from social sciences and business. Prerequisite: MATH 112 (formerly MATH 012) or an adequate ALEKS score.This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/125,MATH 125   Elementary Linear Algebra   credit: 3 Hours. ,"
Basic concepts and techniques of linear algebra; includes systems of linear equations, matrices, determinants, vectors in n-space, and eigenvectors, together with selected applications, such as Markov processes, linear programming, economic models, least squares, and population growth. Credit is not given for both MATH 125 and any of MATH 225, ASRM 406, or MATH 415. Prerequisite: MATH 112 (formerly MATH 012) or an adequate ALEKS score.
"
https://courses.illinois.edu/schedule/terms/MATH/181,MATH 181   A Mathematical World   credit: 3 Hours. ,"
Introduction to selected areas of mathematical sciences through application to modeling and solution of problems involving networks, circuits, trees, linear programming, random samples, regression, probability, inference, voting systems, game theory, symmetry and tilings, geometric growth, comparison of algorithms, codes and data management. Prerequisite: Three years of high school mathematics, including two years of algebra and one year of geometry.This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/198,MATH 198   Freshman Seminar   credit: 3 Hours. ,"
Guides the student in the study of selected topics not considered in standard courses. Prerequisite: Enrollment in the mathematics honors program; consent of department.
"
https://courses.illinois.edu/schedule/terms/MATH/199,MATH 199   Undergraduate Open Seminar   credit: 1 to 5 Hours. ,"
Approved for both letter and S/U grading. May be repeated.
"
https://courses.illinois.edu/schedule/terms/MATH/213,MATH 213   Basic Discrete Mathematics   credit: 3 Hours. ,"
Beginning course on discrete mathematics, including sets and relations, functions, basic counting techniques, recurrence relations, graphs and trees, and matrix algebra; emphasis throughout is on algorithms and their efficacy. Credit is not given for both MATH 213 and CS 173. Prerequisite: MATH 220 or MATH 221, or equivalent.This course satisfies the General Education Criteria for:Quantitative Reasoning II"
https://courses.illinois.edu/schedule/terms/MATH/220,MATH 220   Calculus   credit: 5 Hours. ,"
First course in calculus and analytic geometry; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Credit is not given for both MATH 220 and either MATH 221 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of topics of MATH 115. Students with previous calculus experience should consider MATH 221. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/221,MATH 221   Calculus I   credit: 4 Hours. ,"
First course in calculus and analytic geometry for students with some calculus background; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Credit is not given for both MATH 221 and either MATH 220 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/ and either one year of high school calculus or a minimum score of 2 on the AB Calculus AP exam. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/225,MATH 225   Introductory Matrix Theory   credit: 2 Hours. ,"
Systems of linear equations, matrices and inverses, determinants, and a glimpse at vector spaces, eigenvalues and eigenvectors. Credit is not given for both MATH 225 and any of MATH 125, ASRM 406, or MATH 415. Prerequisite: MATH 220 or MATH 221; or equivalent.
"
https://courses.illinois.edu/schedule/terms/MATH/227,MATH 227   Linear Algebra for Data Science   credit: 3 Hours. ,"
Linear algebra is the main mathematical subject underlying the basic techniques of data science. Provides a practical computer-based introduction to linear algebra, emphasizing its uses in analyzing data, such as linear regression, principal component analysis, and network analysis. Students will also explore some of the strengths and limitations of linear methods. Students will learn how to implement linear algebra methods on a computer, making it possible to apply these techniques to large data sets. Credit is not given for both MATH 227 and any of MATH 125, MATH 225, Math 257, MATH 415, or ASRM 406. Prerequisite: Assumes an introductory knowledge of Python, such as students acquire in STAT 107.
"
https://courses.illinois.edu/schedule/terms/MATH/231,MATH 231   Calculus II   credit: 3 Hours. ,"
Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Prerequisite: MATH 220 or MATH 221. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/234,MATH 234   Calculus for Business I   credit: 4 Hours. ,"
Introduction to the concept of functions and the basic ideas of the calculus. Credit is not given for both MATH 234 and either MATH 220 or MATH 221. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of the topics of MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I"
https://courses.illinois.edu/schedule/terms/MATH/241,MATH 241   Calculus III   credit: 4 Hours. ,"
Third course in calculus and analytic geometry including vector analysis: Euclidean space, partial differentiation, multiple integrals, line integrals and surface integrals, the integral theorems of vector calculus. Credit is not given for both MATH 241 and MATH 292. Prerequisite: MATH 231. This course satisfies the General Education Criteria for:Quantitative Reasoning II"
https://courses.illinois.edu/schedule/terms/MATH/249,MATH 249   Honors Supplement   credit: 1 Hour. ,"
Supplemental credit hour for honors courses with additional material or special projects. Prerequisite: Concurrent registration in a specially designated honors section and consent of department.
"
https://courses.illinois.edu/schedule/terms/MATH/284,MATH 284   Intro Differential Systems   credit: 4 Hours. ,"
First order differential equations; mathematical models and numerical methods; linear systems and matrices; higher-order linear differential equations; eigenvalues and eigenvectors; linear systems of differential equations; Laplace transform methods. Credit is not given for both MATH 284 and either MATH 285 or MATH 286. Prerequisite: MATH 231 or equivalent.
"
