url,name,description
https://courses.illinois.edu/schedule/terms/ME/170,ME 170   Computer-Aided Design   credit: 3 Hours. ,"
Geometry and topology of engineered components: creation of engineering models and their presentation in standard 2D blueprint form and as 3D wire-frame and shaded solids; meshed topologies for engineering analysis and tool-path generation for component manufacture; ISO and ANSI standards for coordinate dimensioning and tolerancing; geometric dimensioning and tolerancing. Use of solid-modeling software for creating associative models at the component and assembly levels with automatic blueprint creation, interference checking, and linked bill of materials. Credit is not given for both ME 170 and GE 101 or SE 101.
"
https://courses.illinois.edu/schedule/terms/ME/199,ME 199   Undergraduate Open Seminar   credit: 1 to 5 Hours. ,"
May be repeated.
"
https://courses.illinois.edu/schedule/terms/ME/200,ME 200   Thermodynamics   credit: 3 Hours. ,"
Classical thermodynamics through the second law; system and control-volume analyses of thermodynamic processes; irreversibility and availability; relations for ideal gas mixtures. Prerequisite: MATH 241.
"
https://courses.illinois.edu/schedule/terms/ME/270,ME 270   Design for Manufacturability   credit: 3 Hours. ,"
Introduction to DFM methodologies and tools; material selection (new and traditional materials); designing for primary manufacturing processes (cutting fundamentals, casting, forming, and shaping); designing with plastics (snap-fits, integral hinges, etc.); design for assembly (DFA); geometric dimensioning and tolerancing (GD&T). Same as TAM 270. Prerequisite: ME 170. ME and EM majors only.
"
https://courses.illinois.edu/schedule/terms/ME/290,ME 290   Seminar   credit: 0 Hours. ,"
Lectures by faculty and invited authorities, concerning the ethics and practices of mechanical engineering/engineering mechanics, as well as its relationship to other fields of engineering, to economics, and to society. Offered fall term only. Approved for S/U grading only.
"
https://courses.illinois.edu/schedule/terms/ME/297,ME 297   Introductory Independent Study   credit: 1 to 3 Hours. ,"
Independent study and/or individual projects related to mechanical engineering. Approved for Letter and S/U grading. May be repeated to a maximum of 6 credit hours for letter grade; no limit for S/U grade mode. Prerequisite: Consent of Instructor.
"
https://courses.illinois.edu/schedule/terms/ME/310,ME 310   Fundamentals of Fluid Dynamics   credit: 4 Hours. ,"
Fundamentals of fluid mechanics with coverage of theory and applications of incompressible viscous and inviscid flows, and compressible high speed flows. Credit is not given for both ME 310 and TAM 335. Prerequisite: MATH 285 OR MATH 286 OR MATH 441; credit or concurrent registration in ME 200.
"
https://courses.illinois.edu/schedule/terms/ME/320,ME 320   Heat Transfer   credit: 4 Hours. ,"
Fundamentals of fluid mechanics with coverage of theory and applications of incompressible viscous and inviscid flows, and compressible high speed flows. Prerequisite: MATH 285 or MATH 286 or MATH 441; ME 310 or TAM 335; credit or concurrent registration in ME 200.
"
https://courses.illinois.edu/schedule/terms/ME/330,ME 330   Engineering Materials   credit: 4 Hours. ,"
Structures of polymers, metals, and ceramics as the basis for their mechanical behavior. Manipulation of structure through such processes as heat treatment and solidification. Mechanisms of material failure in service (yielding, fracture, fatigue, creep, corrosion, and wear) and simple design techniques to avoid these failures. Strategies for materials selection in design. Credit is not given for both ME 330 and either CEE 300 or MSE 280. Prerequisite: CHEM 102 and TAM 251.
"
https://courses.illinois.edu/schedule/terms/ME/340,ME 340   Dynamics of Mechanical Systems   credit: 3.5 Hours. ,"
Dynamic modeling of mechanical components and systems; time-domain and frequency-domain analyses of linear time-invariant systems; multi-degree-of-freedom systems; linearization of nonlinear systems. Credit is not given for both ME 340 and either SE 320 or AE 353. Prerequisite: MATH 285 OR MATH 286 OR MATH 441; TAM 212; credit or concurrent registration in ECE 205 and MATH 415.
"
